ant	n. 蚂蚁
divert	vt. 转移,使欢娱 vi. 转移
sensory	adj. 知觉的, 感觉的, 知觉器官的
fatigue	n. 疲乏,疲劳,累活 adj. 疲劳的 vt. 使...疲劳,使...心智衰弱 vi. 疲劳
southeast	n. 东南, 东南地区 adj. 东南的, 向东南的, 来自东南的 adv. 往东南, 来自东南, 在东南
antibody	n. 抗体
breeze	n. 微风,轻而易举的事 vi. 飘然而行,轻松地得胜或进步
diameter	n. 直径
makeup	n. 组成(接通, 补给, 修理), 化妆品
aluminum	n. 铝
dense	adj. 不易看透的, 密集的, 浓厚的, 愚钝的
cheat	n. 骗子,欺骗行为 vt. &vi. 欺骗,作弊
kingdom	n. 王国，领域，界 Kingdom：天国
articulate	adj. 有关节的,发音清晰的 vt. &vi. 以关节连接,接合,明白地说
ridge	n. 脊, 山脊, 山脉
knit	vt. 编织, 密接, 结合, 皱眉 vi. 编织, 变得紧凑, 愈合 n. 编织
multiply	vt. 乘,增加 vi. 扩大,繁衍,做乘法 adv. 多样地,多重地
sphere	adj. 球体的 n. 范围, 领域, 球, 球体
reportedly	adv. 据报道, 据传闻
habitat	n. (动植物的)产地,栖息地
bracket	n. 支架, 括号, 档次 vt. 支撑, 放在括号内, 归入一类, 包含, 支持
plaster	n. 石膏, 灰泥, 膏药 v. 涂以灰泥, 敷以膏药, 使...平
gram	n. 克 abbr. 语法（=grammar） suf. 写出或画出的东西
chromosome	n. 染色体
builder	n. 建立者，建筑工人 n. 增洁剂
alternate	adj. 交替的, 轮流的, 间隔的 vt. &vi. 交替, 轮流
suppress	vt. 镇压,使...止住,禁止
globalization	n. 全球化 =globalisation(英)
modification	n. 修正, 修饰, 修改
basin	n. 脸盆, 盆地, 流域, 水池
aggression	n. 进攻, 侵犯, 侵害, 侵略
exceptional	adj. 例外的,异常的,特别的
analogy	n. 相似,类似，类比
defender	n. 防卫者, 拥护者, 辩护者
sponsorship	n. 发起(主办, 倡议, 赞助)
systematic	adj. 有系统的, 分类的, 体系的
commute	vi. 交换,通勤,折偿 vt. 交换,减刑,改变付款方式 n. 乘车上下班,通勤
continually	adv.不断地,频繁地
mound	n. 土墩, 堤, 小山 v. 筑堤, 用土堆防卫
tomb	n. 坟墓 vt. 埋葬
layout	n. 布局, 安排, 设计
viable	adj. 能生存的,可行的,能居住的的
artifact	n. 人工制品(制造物,石器)
flush	n. 流溢, 面红, 旺盛, 冲水(尤指冲马桶), 突然萌发, (纸牌)同花顺, 清一色 [计算机] 冲洗 vi. 脸发红, 冲刷, 旺盛成长 vt. 用水冲洗, 惊起(一群鸟), 抄...老窝, 使兴奋 adj. 丰足的,齐平的,满盈的 adv. 正直地, 羞涩地
accessory	adj. 附属的(副的,辅助的) n. 附件，同谋
thereafter	adv. 其后, 从那时以后
attendant	adj. 伴随的 n. 服务员, 侍从, 伴随物, 出席者
niche	n. 壁龛；合适的职业；商机，有利可图的市场(或形势等)； vt. 放入壁龛
fond	adj. 喜欢的；温柔的；宠爱的
velocity	n. 速度, 速率, 迅速
regulator	n. 调整者, 取缔的人, 调整器
manifest	n. 载货单,运货单,旅客名单 adj. 显然的,明白的 vt. 显示, 证实, 出示
mutation	n. 变化, 转变, 母音变化
sadness	n. 悲哀
offset	n. 抵销,支派,平版印刷,弯管 vt. 弥补,抵销,用平版印刷 vi. 形成分支
flank	n. 侧面, 侧腹, 腰窝肉 v. 攻击侧面, 面临着, 守侧面
hunger	n. 饥饿,渴望,饥馑 v. 饿,使...饥饿,渴望
blink	vi. 眨眼,闪烁,屈服,视若无睹 vt. 使眨眼,尽力用眨眼来遮掩（尤指眼泪),拒绝承认或面对, 用闪光灯传送信号 n. 眨眼,闪光,一瞬间
flaw	n. 缺点,裂纹,瑕疵,突然的狂风天气 vi. 变得有缺陷 vt. 使破裂
northeast	n. 东北 adj. 东北的, 向东北的, 来自东北的 adv. 向东北, 来自东北
temporal	adj. 当时的,暂时的,现世的 n. 世间的事物
inappropriate	adj. 不适当的,不相称的
originate	vt. 发起 vi. 开始 [计算机] 起始
standardize	v. 标准化, 使合于标准
noun	n. 名词
fossil	adj. 化石的 n. 化石,食古不化的人,过时的词
foul	adj. 恶臭的,污秽的,邪恶的,下流的 vt. 弄脏,妨碍,污蔑,阻塞,犯规 vi. 腐败,犯规 adv. 不正当地 n. 缠绕,犯规
stripe	n. 条纹 vt. 使...带有条纹的
flip	vt. 掷, 弹, 轻击 vi. 翻转 n. 空翻，浏览 adj. 无礼的, 冒失的, 轻率的
encouragement	n. 鼓励
rotate	vt. &vi. (使)旋转,轮流 adj. 车轮状的
supportive	adj. 支持的, 赞助的
sunlight	n. 日光, 阳光
nursery	n. 托儿所
axiom	n. 公理, 格言，自明之理
probable	adj. 很可能的 n. 很可能的事
cone	n. 圆锥体,锥形物,球果 vt. 变成锥形,削尖
transcribe	vt.（用不同的录音手段）转录； 抄写，誊写； 改编（乐曲）（以适应他种乐器或声部）
generalization	n. 一般化, 普遍化, 概括，泛论
openly	adv. 公开地，公然地, 直率地
valve	n. 瓣膜,阀门,电子管,真空管
geographical	adj. 地理的,地理学的 =geographic
notable	adj. 显著的, 著名的 n. 名人
friction	n. 摩擦,摩擦力,分歧
liter	n. 升, 公升(容量单位) =litre(英)
elicit	vt. 引出,诱探出
modem	调制解调器
albeit	conj. 虽然(即使)
comprehension	n. 理解(力),领悟
disastrous	adj. 灾难性的
non	adv. [拉]非，不是
tumor	n. 肿块
selfish	adj. 自私的, 利己的
metaphor	n. 隐喻,暗喻
gradient	n. 倾斜度,坡度,升降率 adj. 倾斜的,步行的,步行态的
sunshine	n. 阳光
super	adj. 超级的,极好的 n. 警官,管理人 adv. 特别,格外
inhibit	vt. &vi. 禁止,抑制 [计算机] 禁止
genetics	n. 遗传学
facet	n. 小平面, 方面, 刻面
calculus	n. 微积分
vacuum	n. 真空,空间,真空吸尘器 adj. 真空的,产生(利用)真空的 vt. &vi. 用吸尘器打扫
vague	adj. 模糊的,不明确的,说话含糊不清的,茫然的
dominance	n. 支配(控制, 统治, 权威, 优势)
incur	v. 招致,蒙受,遭遇
lord	int. 主, 天啊 n. 上帝, 主
cartoon	n. 动画片 vt. 为...画漫画
artwork	n. 艺术品，美术品，(总称）插图
accumulate	vt. 积聚,累加,堆积 vi. 累积
memorize	v. 记住, 记录, 记下
multi	n. 多种；多数
interestingly	adv. 有趣地
bilingual	adj. 双语的,用两种语言表达或书写的
delta	n. (河流的)三角洲
embody	vt. 代表, 使具体化, 包含,使(精神)肉体化
emit	v. 发出,放射,吐露 [计算机] 发射
emperor	n. 皇帝
cortex	n. 外皮，（大脑）皮层
unbelievable	adj. 难以置信的
psychologist	n. 心理学家
onion	n. 洋葱
biologist	n. 生物学家
proton	n. 质子
unintelligible	adj. 难以理解的； 莫明其妙的
confound	vt. 使困惑, 混淆, 挫败，诅咒 vt.
hop	n. 单脚跳,跳跃 vi. 单脚跳,跳跃,着手做某事 vt. 跳跃,跃过
quotation	n. 1．引语,语录 2．报价单 3．行情表
comparative	adj. 比较的,相当的 n. 对手
correction	n. 订正, 改正, 改正的地方
orchestra	n. 管弦乐队
pesticide	n. 杀虫剂
enlarge	v. 扩大, 增大
fundamentally	adv. 从根本上，基本地
bucket	n. 水桶 vt. 装在桶里 vi. 急急忙忙
compact	adj. 紧凑的,紧密的,简洁的 v. 使装满,使简洁
connector	n. 连接头
equality	n. 同等, 平等
speculation	n. 沉思, 推测, 投机
lump	n. 团, 块状,瘤,很多, 愚笨的人, 惩罚 vt. 聚成团, 合并考虑, 同等对待或分类, 笨拙地移动, 结块, 忍受 vi. 使成块状, 沉重地移动 adj. 整体的, 全部的, 块状的
skip	n. 跳跃,跳读 vt. &vi. 跳越,蹦跳,略过,跳过
erect	adj. 直立的,竖立的,笔直的 v. 竖立,使...直立,建筑
altitude	n. 高度,海拔,高地
impulse	n. 冲动, 驱动力, 倾向, 心血来潮 vt. 推动
wavelength	n. 波长, 波段
composite	adj. 合成的,复合的 n. 合成物, 复合材料 vt. 合成
reconstruct	vt. 重建, 修复, 重现
inhabitant	n. 居民
receptor	n. 受容器, 感觉器官, 摄取体
conceptual	adj. 概念上的
dancer	n.跳舞者,舞蹈演员
buck	n. 钱,鹿皮,(鹿皮等)制物,小伙子 vt. &vi. 猛然震荡,抵制
capitalist	n. 资本家，资本主义者 adj. 资本主义的，有资本的
ironically	adv. 说反话地, 讽刺地
cult	n. 宗教膜拜仪式,异教,狂热崇拜,个人崇拜
optimum	n. 最适宜 adj. 最适宜的
technician	n. 技术员,技师
respectable	n. 品格高尚的人 adj. 值得尊重的, 人格高尚的, 不少的
contradict	vt. 反驳,与...矛盾
demonstrator	n. 示威者，示范者
predator	n. 食肉动物,掠夺者
singular	adj. 个人的,单数的,独一的,唯一的,非凡的 n. 单数
infectious	adj. 传染的
residue	n. 残渣,剩余,余数
calorie	n. 卡，卡路里(热量单位) =calory
semi	adj. 一半的, 部分的, 不完全的 n. 二轮半拖车(挂车, 双轮拖车)
burial	n. 埋葬，葬礼,坟墓
whichever	adj. 无论哪个, 无论哪些 pron. 无论哪个
nutrition	n. 营养
excellence	n. 优秀, 卓越, 优点
approximate	adj. 大约的,近似的 vt. &vi. 接近,约等于
arouse	vt. 唤醒,激发,激起 vi. 唤醒
intimate	adj. 亲密的,私人的,秘密的 n. 密友 vt. 透露,暗示
alternatively	adv. 二者择一地, 做为选择
arrow	n. 箭，箭头 vi. 快且笔直的前进有如穿梭的箭
reign	n. 执政,君主统治时期,王朝 vi. 当政,统治,占优势,支配,盛行
declaration	n. 宣布, 宣言
flux	n. 流出,流量,涨潮,变迁,助熔剂 vt. 使熔化,使泻,涨 vi. 熔化
invisible	adj. 看不见的,无形的 n. 隐形人(或物品)
capillary	n. 毛细管 adj. 毛状的, 毛细管的
discourage	vt. 使气馁,阻碍
denote	vt. 象征,表示
canoe	n. 独木舟, 轻舟 v. 乘独木舟
definitive	adj. 决定性的，权威性的，确定的，限定的 n. 限定词
smoothly	adv. 平滑地,流畅地,流利地
snake	n. 蛇 vt.& vi. 蜿蜒,扭曲
allocation	n. 配置, 分配, 安置
bacterial	adj. 细菌的
deviation	n. 偏差数, 偏离，出轨，背盟
definite	adj. 明确的,一定的
secrete	v. 隐秘, 隐藏, 隐匿 v. 分泌
minus	adj. 负的,减的 n. 减号,负数,缺点 prep. 减去
warrior	n. 勇士, 战士
delicate	adj. 细致优雅的,微妙的,美味的 adj. 淡色的,淡味的 adj. 娇弱的,纤细的
villager	n. 村民
watershed	n. 流域，分水岭，转折点
plunge	n. 突然跌落, 跳水 vi. &vi. 投入, 骤降, 使...陷入, 全神贯注于
practitioner	n. 从业者
pragmatic	adj. 实际的, 实用主义的
respective	adj. 各自的, 分别的
obsession	n.[U]痴迷；困扰,成见 [C]使人痴迷的人（或物）
skeptical	adj. 怀疑的
fashionable	adj. 流行的, 时髦的
integral	adj. 构成整体所必需的,完整的 n. [数学] 积分, 完整, 部分
fatal	adj. 致命的, 毁灭性的, 决定性的
skull	n. 头骨,骷髅头 vt. 击打头部
innate	adj. 天生的,固有的
activate	v. 刺激,使...活动,创设
dual	adj. 双重的, 成双的 n. 双数
feather	n. 羽毛,心情,种类,服饰 vt. 用羽毛装饰 vi. 长出羽毛
physics	n. 物理学
supposedly	adv. 想来(恐怕, 按照推测)
exponential	adj. 指数的 n. 指数
tolerance	n. 忍耐力,宽容,容忍,公差
prestigious	adj. 享有声望的, 声望很高的
unchanged	adj. 无变化的
disposal	n. 处理,消除,销毁,处置 n. 弃菜碾碎器
dilemma	n. 困境,进退两难
ethical	adj. 伦理的；道德的；凭处方出售的
spectacle	n. 值得看的东西, 光景, 眼镜
elevate	vt. 举起,提拔,素养提升，鼓舞 vi. 变高
elevation	n. 提拔，海拔,提高 [计算机] 标高
socialize	vt. 使...社会化，使...社会主义化，使适应社会需要 vi. 交际
fracture	n. 破碎,骨折 vt. 破碎,破裂 vi. 断裂
fierce	adj. 猛烈的, 凶猛的, 残暴的, 强烈的
ashamed	adj. 感到惭愧,感到害臊,因为羞耻或勉强作某事
primer	n. 启蒙书, 识字课本
chess	n. 国际象棋
endanger	vt. 危及，危害
syntactic	adj. 句法的
axis	n. 轴,中枢
manipulate	v. 操纵,利用,假造 [计算机] 操作
miniature	n. 缩图,小画像 adj. 小规模的,纤小的
enrich	vt. 使富足,使肥沃，添加元素
numerical	adj. 数字的, 用数字表示的
alteration	n. 改变, 变更
historically	adv. 历史上地
maneuver	n. 演习,调遣,策略 vt. 调遣,演习,巧妙地操纵 vi. 调遣,演习,用计策
monk	n. 僧侣, 修道士
landmark	n. 陆标, 划时代的事, 地界标
discrete	adj. 不连续的 离散的 [计算机] 分离 离散
comma	n. 逗号，停顿，间歇 n. 银纹多角蛱蝶
appendix	n. 附录,阑尾
shuttle	n. 航天飞机；穿梭；梭子；穿梭班机、公共汽车等 vt. 使穿梭般来回移动；短程穿梭般运送 vi. 穿梭往返
spatial	adj. 空间的
pollute	v. 弄脏,污染 vt. 污染
closure	n. 闭合(闭包,结束,截流,罩子,围墙) vt 结束
corps	n. 军团
dye	n. 染料,染色 vt. 染 vi. 染色
contaminate	vt. 弄脏,污染
oversee	v. 向下看,了望,监督
soluble	adj. 可溶解的，可解决的
tuck	n. 缝摺,船尾突出部下方,食品,鼓声 vt. 打摺,卷起,挤进,畅饮 vi. 缝褶裥,缩拢,畅饮
commerce	n. 商业, 贸易
finite	adj. 有限的
obscure	adj. 微暗的,难解的,不著名的,[语音学]轻音的 vt. 使...阴暗,隐藏,使...含糊,成为含糊的元音 n. 暗淡,模糊
dependence	n. 依赖, 信赖，上瘾
regression	n. 复原,逆行,退步
deteriorate	vt. (使)恶化 vi. (使)恶化, 瓦解, 衰退
theology	n. 神学
sting	n. 刺痛；讽刺，刺激；刺毛 vt. 刺；驱使；使…苦恼；使…疼痛 vi. 刺痛；被刺痛；感到剧痛
noisy	adj. 喧闹的,嘈杂的 n. 嘈杂声,响声
selective	adj. 选择的, 选择性的
fluctuate	vi. 变动, 上下, 动摇 vt. 使动摇
doorway	n. 门口
blur	vt.& vi. 使...模糊,弄脏 n. 污点,模糊
follower	n. 追随者, 属下, 模仿者，信徒，[机]随动件
dolphin	n. 海豚
orientation	n. 信仰,趋向,定位,适应,情况介绍 [计算机] 定向
swift	adj. 快的,迅速的 adv. 快速地 n. 雨燕,线轴
texture	n. 质地；纹理；结构；本质，实质
differentiation	n. 区别,分化,变异
industrialization	n. 工业化
enjoyment	n. 享受
fin	n. 鳍,鱼翅,鳍状物,散热片,五元纸币 vt. 装上鳍片 vi. 露鳍于水面,拍动鳍, 象鱼一样游泳
algorithm	n. 算法
erupt	v. 爆发
ancestor	n. 祖宗,祖先,原种
sub	n. 潜艇,替代品 vi. 替代 vt. 转包合同
likewise	adv. 同样地,此外,（表示感觉相同）我也是
maternal	adj. 母亲的, 母系的, 母方的
remainder	n. 剩余物, 其他的人, 残余 vt. 廉价出售 adj. 剩余的
bead	n. 珠子,滴 vt. 用珍珠布置或覆盖，象珍珠一样串成线 vi. 形成珍珠
maximize	v. 取...最大值,最佳化 [计算机] 最大化
uplift	v. 提高, 振奋 n. 高扬, 道德的向上, 精神昂扬
weave	n. 编法, 织法, 编织 v. 编织, 组合, 编排
apparatus	n. 装置, 器具, 机构, 组织
adaptation	n. 改编,适应,改编成的作品
node	n. 节, 结节, 瘤, (戏剧情节的)曲折或纠纷 [计算机] 节点
laborer	n. 劳动者, 劳工 =labourer（英）
frontier	n. 边界,边境，尖端，边缘
liver	n. 肝脏
colorful	adj. 华美的, 富有色彩的, 有趣的
bleed	vi. 流血, (为事业,祖国)负伤或牺性, (花草﹑ 树木等)流出汁液, 出大笔钱 vt. 放血, 勒索钱财, 大大削弱, 使...流血 n. 印刷到纸边上去,漏出
bloom	n. 花,钢块,兴旺 vt. 使...开花 vi. 开花,变得健康
vowel	n. 母音, 元音
behavioral	adj.动作的
prosperity	n. 繁荣,兴旺
bureaucracy	n. 官僚制度, 官僚主义
unwilling	adj. 不愿意的
protective	adj. 保护的, 防卫的
hepatitis	n. 肝炎
plague	n. 瘟疫, 麻烦, 灾祸 vt. 折磨, 烦扰, 造成麻烦
generic	adj.一般的,普通的,共有的，没有商标的 n. 无商标的药品
tablet	n. 药片, 匾, 片状物
variant	n. 变体 adj. 不同的
architectural	adj. 建筑的,建筑学的,建筑术的
conjunction	n. 连词, 结合, 关联,(事件等的)同时发生
slab	n. 平板, 厚的切片 v. 切成厚板, 以平板盖上
positively	adv. 必定地, 确实地, 断然地, 绝对地, 积极地
pulse	n. 脉冲,脉波,脉搏 vt. &vi. 跳动,脉跳
thorough	adj. 彻底的, 完全的, 精心的
wilderness	n. 荒野, 荒地
fungus	n. 真菌, 霉菌 （复数为funguses或fungi)
elementary	adj. 基本的,初级的,元素的
rigid	adj. 僵硬的,刻板的,严格的
container	n. 容器, 集装箱
elimination	n. 除去, 消除
nationalism	n. 民族主义, 民族之特性
corpus	n. [计] 语料库；文集；本金
sword	n. 剑,刀, 致命或毁灭性器械, 剑状物,使用武力, 军事裁判权
synthetic	adj. 综合的,合成的,人造的 n. 人工制品
hemisphere	n. 半球
circulation	n. 流通,循环,发行量,消息传播
marble	adj. 大理石的,冷酷的 n. 大理石 vt.使有大理石的花纹
shallow	adj. 浅的, 肤浅的, 浅显易懂的 n. (pl.)浅滩, 浅处 v. 变浅
subset	n. 子集
imperative	n. 命令, 诫命, 需要 adj. 命令式的, 急需的
derivative	adj. 引出的,系出的 n. 引出之物,系出物,衍生字 n. 导数, 微商
alien	n. 外侨;外星人 adj. 外国的,相异的，陌生的 vt. 转让
quiz	n. 随堂测验,恶作剧,古怪的人 vt. 恶作剧,提问
nutrient	adj. 营养的,滋养的 n. 营养物,营养品
shield	n. 盾,防卫物,盾状物 vt. 保护,遮蔽
adjacent	adj. 毗连的,邻近的,接近的
semantic	adj. 语义的
abdominal	adj. 腹部的
creator	n. 创造者，[计]创建者 Creator n. 上帝
paradox	n.反论，悖论； 似非而是的论点； 自相矛盾的人或事； [物]佯谬
illuminate	vt. 照明,阐释,说明
entrant	n. (参加比赛的)竞赛者, 新就业者, 新成员
compatible	adj. 能共处的,可并立的,适合的, 兼容的 n. 兼容
