responsible	adj. 有责任的,负责的,责任重大的,应负责的
rest	n.休息； 剩余部分； 支持物； 宁静，安宁 vt.& vi.（使）休息； （使）倚靠[支撑] vi.休息； 静止； 停止； 安心 vt.使休息； 使轻松； 使长眠； 使依赖
desk	n. 书桌
monitor	n. 监督器, 班长, 监听员, [计算机]显示器, 监视器 v. 监视, 监听, 监督
fault	n. 故障,过失,缺点 vt.&vi. 挑剔,指责，发现错误, 断裂
century	n. 世纪，一百年，成百的东西
southern	adj.南方的，南部的； 来自南方的 n.南方人，南部人
yard	n. 庭院, 场地, 码
chain	n. 链,连锁,束缚 vt. 用铁练锁住,束缚,囚禁
tiny	adj. 极小的,微小的
yellow	adj. 黄色的 n. 黄色
chance	n. 机会, 意外, 运气, 风险 vi. 偶然发生 vt. 偶然发生, 冒险
unclear	adj. 不易了解的, 不清楚的, 含混的
key	adj. 主要的,关键的 n. 钥匙,关键,答案,按键,音调 vt. 上锁,调节,提供解答,键入 vi. 使用钥匙
channel	n. 通道,频道,海峡,方法 vt. 引导,开导,形成河道,输送
kick	n. 踢,冲刺,反冲,钱包,反对,极大兴趣 vt. 踢,对自己生气,戒除 vi. 踢,反抗,充满活力的运作,反冲,冲刺
picture	n. 图画,照片,景色 vt. 画,描写,想像
speaker	n. 说话者, 发言者, 说某种语言者, 扬声器
specific	adj. 特殊的, 明确的, 具有特效的 n. 特效药, 特性, 详情
healthy	adj. 健康的
assistance	n. 帮助, 援助
bedroom	n.卧室，寝室 adj.<美>城郊住宅区的； 两性关系的，男女性爱的
tourist	adj. 旅游的 n. 旅游者,观光者
file	n. 档案,公文箱,锉刀,[计算机] 文件 vt. 列队行进,归档,申请
fill	vt. 装满,填充,弥漫,担任 n. 足量
consequence	n. 结果,后果
director	n. 董事,经理,主管,指导者,导演
spot	n. 污点, 地点, 斑点; 职位 adj. 当场的, 现实买卖的 v. 使沾上污点, 认出, 用灯光照射
distance	n. 距离, 远方, 路程 vt. 与 ... 保持距离, 把(对手)甩在后面 adj. 远程(教育)的
spread	n. 传布, 伸展 adj. 扩延的 v. 传布, 推广, 伸出
wrong	adj. 错误的,不正当的,失常的 adv. 错误地 n. 错误,不公正 vt. 伤害,亏待,欺骗,中伤
disappoint	vt. &vi. 使...失望
environmental	adj. 环境的
carefully	adv. 小心地, 仔细地
hide	vt.隐藏； 躲避，隐匿，躲藏； 遮蔽，覆盖 vi.隐瞒； 遮住； 遮挡； 掩盖 n.兽皮； <口>生命； <口>人的皮肤； （观看野生动物的）隐蔽处
anymore	adv.(用于否定句中)不再
yeah	adv. 是
disk	n. 圆盘,唱片,花盘,盘形物,光盘 vt. 用圆盘耙耙地 [计算机] 磁盘
wind	n. 风,气流,风向,管乐器,动向,潮流,空想, 卷绕,一圈 vt. 上发条,缠绕,蜿蜒,使...喘气,使...通风,吹奏 vi. 卷曲, 吹响号角, 迂回
necessary	adj. 必需的,必要的,必然的 n. [pl.]必需品
treat	v. 对待, 治疗，处理，请客，视为 n. 款待，宴飨
route	n. 航线,路线,途径 vt. 按路线发送, 改变路线
tree	n. 树
particularly	adv. 特别, 尤其
pool	n. 水塘(池),游泳池,撞球 vi. 形成池塘 vt. 集中,积累
pop	n. 取出,砰然声,流行乐曲,流行文化艺术,（尤用作称呼）爸 adj. 流行的,热门的,通俗的 vt. 取出,发出爆裂声,突然伸出,击打,开火 vi. 发出砰的一声，（因激动、惊奇）张大 adv. 突然间地, 暴发地 POP abbr.=point of purchase POP abbr.=population 人口
assessment	n. 估价, 评估
celebrate	vt. &vi. 庆祝,祝贺,颂扬
nice	adj. 美好的,令人愉快的,漂亮的,善意的
possibility	n. 可能性,可能的事情,潜在的价值
horse	n. 马 vt. 骑马 adj. 马的
acid	adj. 酸的 n. 酸, 酸味物质
corporation	n. 公司, 法人, 集团
potential	adj.潜在的，有可能的； [语法学]可能语气的，表示可能性的； 有能力的 n.潜力，潜能； [物]电位，势能； 潜能的事物； [语]可能语气
coffee	n. 咖啡
left	adj.左边的，左侧的； 左派的 n.左，左面； [军]左翼； 左派，激进分子 adv.向左； 在左边 v.离开( leave的过去式和过去分词)
cold	adj. 冷的, 漠然的, 客观的 n. 感冒, 低温 adv. 唐突地, 无回旋余地地, 即兴地
legal	adj. 法律的,合法的,法定的
colleague	n. 同事
none	pron.没有人，没有一人； 没有一个； 没有一部分，没有一点 adv.根本不； 无法，绝不
transaction	n. 交易,处理,办理
afternoon	n. 下午 int.下午好
preparation	n. 准备
effectively	adv. 事实上,有效地
stress	n. 紧张, 压力 v. 强调, 着重 vt. 强调 n.负载
alone	adj. 单独的,仅仅，独自一人的 adv. 只有,独自地, 独一无二地
characteristic	adj. 特有的, 典型的 n. 特性, 特征, 特色
schedule	n. 时间表, 一览表, 计划 vt. 安排, 计划, 预定, 编制目录
comfort	n. 舒适,安慰,安慰者 vt. 安慰
unique	adj. 独一无二的, 独特的, 稀罕的
comment	n. 注释, 评论; 闲话 v. 注释, 评论
limit	n.限制； 限量，限度； 界限 vt.限制，限定
framework	n. 结构, 框架, 参照标准, 体系
impose	vi. 利用；欺骗；施加影响 vt. 强加；征税；以…欺骗
animal	n.动物，兽，牲畜； <俚>家畜，牲口； <俚>畜生（一般的人）； 兽性 adj.动物的； 肉体的； 肉欲的
input	n. 输入
birthday	n. 生日
freeze	v. 冻结, 冷冻, 僵硬 [计算机] 冻结
submit	vt. 呈送, 递交, 主张 vt. 使服从, 屈服 vi. 屈从; 忍受
substantial	n. 重要部份, 本质 adj. 大量的, 实质上的, 有内容的
birth	n. 出身, 血统, 出生, 诞生, 出现, 起源
compete	v. 竞争, 对抗
literature	n. 文学, 文献
approve	vt. 批准,核准,证实 vi. 赞同
nurse	n. 护士,保姆,奶妈 vi. 看护,照顾,栽培,当看护 vt. 哺乳,看护
secure	adj.安全的； 牢固的； 有把握的； 安心的 vt.保护； （使）获得； 使安全； 担保 vi.获得安全，变得安全； 安全，保险； 承保，担保； [航海学]停止工作
project	n. 工程,项目,计划,事业 v. 计划,设计,表达 v. 投射,放映,凸出
duty	n.税，义务, 职责 adj. 值班的, 作为一种义务的
unusual	adj. 不平常的, 异常的
arrangement	n. 安排,商议,整理
tool	n. 工具,用具,受人利用的人,印压的图案 vt. 驾驶,用工具加工,印压图案于 vi. 驾驶,用工具加工
season	n. 季节,时期,旺季，上演期 vt. 加调味料调味,使...适用于 vi. 使…被调味，
sum	n. 总数(计),金额,顶点,概略,一笔钱 vt. 总计,概括 vi. 总计
folk	n.民族； 人们； 〈口〉家属，亲戚； 民间音乐 adj.民间的； 普通平民的； 流传民间的； 普通百姓的
apparently	adj. 显然,似乎 adv. 显然
select	adj. 精选的 n. 被挑选出来的人或物 v. 选择 vi. 选择,挑选,选拔 vt. 选择,挑选
selection	n. 选择,挑选,挑选出来的人或事
protect	vt. 保护,投保 vi. 提供保护
urge	n. 冲动 vt. 驱策,鼓励,力陈,催促 vi. 极力主张
east	adj. 东方的 adv. 向东方 n. 东, 东方
furniture	n. 家具
attractive	adj. 有吸引力的, 引起注意的
gain	n. 增益, 获得, 利润 vt. 得到, 增进, 获利 vi. 增加, 得到, (钟, 表等)走得快
bomb	n. 炸弹,高压罐,火山口喷出的熔岩 vt. 轰炸,大败,长传 vi. 失败
user	n. 用户, 使用者
technical	adj. 工艺的, 技术的
pull	n. 拉,拖,拉绳,影响 vi. 拔,拉,拖,扳动 vt. 拉,拔
complain	vi. 抱怨,悲叹,控诉
occur	vi.发生； 出现； 闪现
valuable	adj. 贵重的, 有价值的 n. (pl.)贵重物品
serious	adj.严肃的, 庄重的, 严重的, 危急的, 认真的
install	v. 安装,安置,使...就职 n.[计算机] 安装,DOS命令 : 装入结束且驻留软件
variety	n. 多样, 种类, 杂耍
elect	n. 当选人, 被选的人, 上帝的选民 adj. 被选的, 选出的 v. 选举, 选择
vary	vt. 改变,使多样化 vi. 变化,违背
sweep	vt. 扫除,拂去,掠过,席卷,扫视,全胜 vi. 打扫,席卷,昂首阔步地走,连绵,全胜 n. 扫除,席卷,搜寻,挥动,范围,风帆,(竞赛中)全胜,连绵一片,赌金
push	n. 推,奋力,决心 vt. &vi. 推,挤,逼迫
instance	n.例子，实例； 情况； 要求，建议； [法]诉讼手续 vt.举…为例
complicate	vt. 弄复杂, 使错综, 使起纠纷
priority	n. 优先权, 优先顺序, 优先
via	prep. 经由
fee	n. 费用,封地
machine	n.机器，机械； 机械般的人； 核心 vt.用机器制造，用机器加工 vi.被机器切削
convince	vt. 说服, 使...相信
opposite	adj. 相对的, 相反的, 对面的 n. 对立物，对立者，对手 adv. 在对面地，处于相反位置地 prep. 在...对面
corner	n.角落，角； 拐角； 困境； [商]囤积 vi.驾车转弯； 聚于角落 vt.垄断； 逼入困境 adj.位于角落的
agent	n. 代理人，代理商；药剂；特工；动力 vt. 由…作中介；由…代理 adj. 代理的
dad	n. 爸爸
inch	n. 英寸 v. 慢慢前进,慢慢移动
income	n. 收入,所得
shoot	n. 射击,芽,发射 vt. 射击,发出,发芽 vi. 飞驰
brother	n. 兄弟, 同胞, 同事, 教友
brown	adj. 褐色的,棕色的 n. 褐色,棕色 (姓)布朗
court	n. 法院, 庭院, 奉承, 球场 v. 献殷勤, 追求, 招致（危险、失败等）
